"Name","CPC-A-Hypoxia","CPC-B-Hypoxia","CPC-C-Hypoxia","CPC-A-Normoxia","CPC-B-Normoxia","CPC-C-Normoxia","MSC-D-Hypoxia","MSC-E-Hypoxia","MSC-F-Hypoxia","MSC-D-Normoxia","MSC-E-Normoxia","MSC-F-Normoxia","RCF-A-Hypoxia","RCF-B-Hypoxia","RCF-C-Hypoxia","RCF-A-Normoxia","RCF-B-Normoxia","RCF-C-Normoxia","CEC-D-Hypoxia","CEC-E-Hypoxia","CEC-F-Hypoxia","CEC-D-Normoxia","CEC-E-Normoxia","CEC-F-Normoxia"
"carnitine",2375.29552045294,2454.97961697912,1917.8821816674,3092.86632788077,10871.599320448,1957.66040679467,5513.81017417784,5779.17315080746,7564.9106286854,5817.69086637724,6522.3344680363,3577.40354524136,2095.76885236723,4533.12965014177,4443.47810273971,1513.37692831749,4671.09774608415,3194.56842260227,61.9995077157582,243.93637687814,43.1428081196886,40.7431651676546,84.1713118992038,35.5758793106628
"2-[(1S)-1-Hydroxyethyl]-4(1H)-quinazolinone",148.688966899455,173.548215293404,5862.73222498584,4079.77143657034,184.581684114725,145.196826780762,285.847977838764,177.936446611602,286.034733249374,355.604742881784,144.065489246856,384.698285035986,15835.9188855466,652.56888251499,8490.76745158193,182.474535777555,197.443147779391,173.131341192177,44826.2062017945,23616.2931999354,220.56246282666,241.321059312933,9788.38655384886,22832.3157099492
"Guanidinosuccinic acid",4706.24614140271,4939.86393399704,3843.61549949518,2253.3033811798,1643.6774610233,5043.30901268329,38839.514827237,31390.7342857206,30251.2991171411,35654.9492386227,26209.3243850885,32292.7795170494,18551.4203003932,49140.9588709974,30864.1767492935,34705.4279852354,24377.6988022041,19321.1439218617,1201.32255628355,2982.50300529462,2476.14650116138,15164.3580831939,1220.23923848591,756.028853204567
"Indole-3-acrylic acid",7730.20548931909,7509.59157221736,1562.18959397743,1174.45369001199,5140.14771809945,9664.0100252141,32312.4945516326,27743.7477271119,29500.9755890654,24985.0345295972,25946.9487011966,33576.5486927398,5818.17651628255,22910.2943864348,12629.1316595251,38670.7870433837,24480.8217535849,21332.4090263716,5512.5857336473,2136.75137712418,46969.2475082627,26748.5474425119,1183.57651825304,12843.9496285412
"L-Phenylalanine",12015.21703485,15492.025642273,6320.43573342315,2795.60310953288,12916.9692493798,19137.5101878849,96880.7768857123,85799.8215097948,77679.8296838935,64475.126898234,75429.8018979882,92528.5748830711,25651.3850274792,86111.70685503,51045.4328346168,106306.392194694,67818.2878832809,47986.9955269571,82076.758181882,43124.6165155003,290462.268110398,246310.509839621,24560.3022360594,151255.134681473
"N1-(2,3-Dihydro-1H-inden-5-yl)acetamide",693.201544987894,4782.46376659897,1434.10035527311,1804.20537800936,3528.88691302444,422.765390168825,380.283234055485,384.072911055391,377.570594130088,369.100633344763,337.897008758398,429.680991252864,8853.15329610426,43813.3308009126,21860.7480287374,3268.06737540412,3205.3500911407,2517.06988354247,6078.48964840519,3824.21948022155,1804.97163099689,2006.68243367645,1101.42261248381,7731.0254845218
"N8-Acetylspermidine",5272.51671134403,11809.6267874456,12602.8816039702,4403.64175591173,5764.31776135999,8960.66065011558,1806.30792891281,2582.13827490492,2582.06387782418,1334.5637438427,1091.64597672769,1642.60613664988,2817.57845683141,4307.89076989663,7257.9065619736,2409.57135947318,1600.38735732156,1899.75422112126,32497.3934820258,8260.06219271952,124310.752057797,50400.3542506152,1632.35060550675,61896.6589260991
"PC(34:2)",109622.488986861,102410.145624692,79506.4995456944,134697.961425097,726355.118400312,48582.5987984177,38920.2388754407,28497.4899573593,13930.2328804555,16306.6007788349,21176.874993225,18652.8461984839,57694.260714504,66216.4985879427,179477.640173345,43776.7627632896,44261.4057149579,53649.9750732016,39547.6174382354,160470.663375257,41999.6125501765,15247.9633400166,104323.76742122,42507.894761026
"PC(38:2)",5807.29367192422,22724.1441059447,10589.3935091885,10503.7612868119,128164.733766509,3250.03176167846,2320.07333902467,3085.75524811434,1438.52222003897,1673.26176703133,434.047086427174,3206.2509491229,62447.9372759492,45615.1087768664,77384.8899560577,15206.5118016317,7040.10987736096,14760.7941922448,50135.2857300265,176635.32915427,22659.4747519465,11566.0232771844,120713.7201623,35739.4521503998
"TG(48:2)",39592.3115135893,24312.9019362733,10672.8024020009,17317.323369965,162884.848299229,10711.4346315529,42886.1181133722,30666.0004689208,13860.8171680063,12392.8637641267,15585.8175202112,18993.0469971589,30362.2549678442,74587.2646386333,13350.5567958349,13850.8913591779,13595.1239949206,20352.3167563153,5009.3604561978,34655.6829365732,12480.0316191404,22799.6558779256,9393.21779805753,10814.4065302605
"Thiamine",86736.8908661367,95466.8206124959,102458.720978883,54519.9024780702,103055.424208297,126316.344045441,418575.262829259,346765.47500393,427882.529280826,411587.885743896,308888.6183609,262467.422160314,283972.956592229,829117.587947058,591911.702097681,709345.825256437,633444.285642477,624568.038169836,327783.935857848,205354.359148263,775224.886127136,810765.670121407,93903.6835505785,442370.890888937
"10,12-Dihydroxy-5-methyl-2,3,4,5-tetrahydro-1aH-oxireno[H][3]benzoxacyclododecine-7,13(8H,13aH)-dione",9093.87720663257,12536.3626353237,6821.70246208711,4152.07239149838,12319.5267713379,16303.6659021207,5512.55084261385,6477.74904994844,4051.98668543137,4877.53250117209,5220.31478459417,5928.07174335951,3580.00632362284,6025.19536644974,4888.51390471975,9998.76814068646,3993.76622723884,6215.06474107491,1137.46124907581,4296.66604821735,1271.58121805037,6571.50660160111,2251.14877318286,913.7128465916
"3-(1-pyrazolyl)-alanine",407.032477991344,208.319969781062,20881.2457615057,15812.7857777462,229.84826988129,256.874377401123,177.132091103931,191.661191647336,282.879398013557,192.74932852137,189.597271445768,238.493520169609,27086.3667603619,1174.14402609085,27477.0067146218,474.708477983071,366.96995655075,576.019203925243,95097.1406535621,76099.6561737693,604.37061268642,546.403784455582,32365.5327203117,139874.088599613
"3-Hydroxy-3,5,5-trimethyl-4-(3-oxo-1-buten-1-ylidene)cyclohexyl β-D-glucopyranoside",18734.7376804382,10142.8114811357,3538.9023508903,7356.47854664055,26966.8767711445,9169.49947924175,27764.9855690522,29182.5909832627,35690.1123541958,29105.5300399258,26558.1045180957,29781.7497966297,5316.26763951214,8304.8383732301,6611.12608014366,8735.12615726246,42231.9063168174,9806.02482959408,626.510528791939,3671.61463127645,2297.44439623274,1695.62859545576,542.937654636627,2658.95723344335
"Bis(2-ethylhexyl) amine",5477.20934822264,7732.80710202964,1075.31297119388,370638.984779171,5113.98801146357,3573.94189899236,3689.32496945041,1413.30800389839,2009.58599257105,3665.58515090485,2217.20519781512,1182.63148852739,2174.1740454572,1110.89913849187,1147.73791249919,2742.18932132465,1424.44422743241,1407.5280430148,1306.32455339825,4578.8351019015,1710.1543714129,812.751606659678,792.388001376011,2192.9416950616
"Cer(34:1;O2)",5532.38392315012,34116.0353913161,6332.59344156013,6890.50069529315,215501.974827429,2185.53760384219,2653.09197323037,1704.71018652858,2300.40438814612,971.861057431517,926.14508525068,7909.15863063521,25482.7710069653,32436.5268841854,63316.6567832253,6806.6014157878,10944.5834263804,7708.78568059213,107122.805442842,903008.486367039,79564.8278358357,36177.9158649599,778085.684693132,71944.5611054825
