Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: A Sequest HT,Score Sequest HT: B Sequest HT,Score Sequest HT: C Sequest HT,Score Sequest HT: D Sequest HT,Score Sequest HT: E Sequest HT,Score Sequest HT: F Sequest HT,Score Sequest HT: G Sequest HT,Score Sequest HT: H Sequest HT,Score Sequest HT: I Sequest HT,Score Sequest HT: J Sequest HT,Score Sequest HT: K Sequest HT,Score Sequest HT: L Sequest HT,# PSMs (by Search Engine): A Sequest HT,# PSMs (by Search Engine): B Sequest HT,# PSMs (by Search Engine): C Sequest HT,# PSMs (by Search Engine): D Sequest HT,# PSMs (by Search Engine): E Sequest HT,# PSMs (by Search Engine): F Sequest HT,# PSMs (by Search Engine): G Sequest HT,# PSMs (by Search Engine): H Sequest HT,# PSMs (by Search Engine): I Sequest HT,# PSMs (by Search Engine): J Sequest HT,# PSMs (by Search Engine): K Sequest HT,# PSMs (by Search Engine): L Sequest HT,# Peptides (by Search Engine): A Sequest HT,# Peptides (by Search Engine): B Sequest HT,# Peptides (by Search Engine): C Sequest HT,# Peptides (by Search Engine): D Sequest HT,# Peptides (by Search Engine): E Sequest HT,# Peptides (by Search Engine): F Sequest HT,# Peptides (by Search Engine): G Sequest HT,# Peptides (by Search Engine): H Sequest HT,# Peptides (by Search Engine): I Sequest HT,# Peptides (by Search Engine): J Sequest HT,# Peptides (by Search Engine): K Sequest HT,# Peptides (by Search Engine): L Sequest HT,# Protein Pathway Groups,# Razor Peptides,Abundances (Normalized): F1: Sample,Abundances (Normalized): F2: Sample,Abundances (Normalized): F3: Sample,Abundances (Normalized): F4: Sample,Abundances (Normalized): F5: Sample,Abundances (Normalized): F6: Sample,Abundances (Normalized): F7: Sample,Abundances (Normalized): F8: Sample,Abundances (Normalized): F9: Sample,Abundances (Normalized): F10: Sample,Abundances (Normalized): F11: Sample,Abundances (Normalized): F12: Sample,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F3: Sample,Abundance: F4: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F9: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundances Count: F1: Sample,Abundances Count: F2: Sample,Abundances Count: F3: Sample,Abundances Count: F4: Sample,Abundances Count: F5: Sample,Abundances Count: F6: Sample,Abundances Count: F7: Sample,Abundances Count: F8: Sample,Abundances Count: F9: Sample,Abundances Count: F10: Sample,Abundances Count: F11: Sample,Abundances Count: F12: Sample,Found in Sample: [S1] F1: Sample,Found in Sample: [S2] F2: Sample,Found in Sample: [S3] F3: Sample,Found in Sample: [S4] F4: Sample,Found in Sample: [S5] F5: Sample,Found in Sample: [S6] F6: Sample,Found in Sample: [S7] F7: Sample,Found in Sample: [S8] F8: Sample,Found in Sample: [S9] F9: Sample,Found in Sample: [S10] F10: Sample,Found in Sample: [S11] F11: Sample,Found in Sample: [S12] F12: Sample,# Protein Groups,Modifications,,,,,,,,,,,,
FALSE,High,Master Protein,F1LST1,Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=3,0,1323.704,54,80,3134,5,2387,262.6,5.81,356.5,262.8,618.68,722.53,507.8,531.04,1056.93,1613.99,1585.63,929.6,1521.45,2203.5,110,80,152,175,154,153,275,449,423,229,351,583,37,28,57,64,37,39,64,67,68,63,71,76,0,136,2605798860,2797972998,3474704516,3181587181,2581576033,2414125244,5187744555,6372315397,8007562319,5867239060,6951074986,10278170180,1851085105,1359837832,2551616607,3181587181,981964842.9,1591910022,3744810300,3884175279,4842213633,4050674457,6229663053,6953556043,93,82,104,117,82,93,114,117,116,120,131,128,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P04937,Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=2,0,1305.968,50,79,3166,4,2477,272.3,5.76,340.85,262.92,608.23,701.42,509.02,539.71,1058.1,1650.72,1650.15,927.55,1504.21,2230.4,107,80,149,170,155,157,277,461,443,228,347,592,38,29,58,65,38,41,63,68,67,63,72,75,0,0,28307645.7,13915040.62,65128827.58,71886599.18,25871928.48,30405889.31,241879219.4,229723768,367151082.4,334042328.8,320700491.1,407565437.2,20108943.22,6762823.906,47826742.47,71886599.18,9841013.344,20050094.77,174602234.7,140025614.7,222018125.6,230618987.1,287416839.1,275732845.4,3,3,5,5,6,5,6,6,6,7,7,5,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A0G2KAN1,Collagen alpha-2(I) chain OS=Rattus norvegicus OX=10116 GN=NEWGENE_621351 PE=1 SV=1,0,1026.49,76,62,2204,4,1372,129.5,9.29,97.05,41.29,52.8,62.15,39.82,84.53,1870.48,1667.34,1422.33,1157.18,1893.64,1248.65,28,12,15,19,13,25,423,391,321,253,405,299,9,6,6,10,6,11,57,58,58,53,55,52,0,96,6238352334,7927127727,6810812608,7319692646,7688209144,6685760582,14020791073,13260120291,11944544147,11991125330,11969704036,10746706513,4431547370,3852649112,5001456232,7319692646,2924396178,4408689774,10121007745,8082561552,7222926554,8278535201,10727437575,7270537917,36,38,33,36,47,48,96,98,94,87,94,92,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P02454,Collagen alpha-1(I) chain OS=Rattus norvegicus OX=10116 GN=Col1a1 PE=1 SV=5,0,1004.488,72,63,1828,62,1453,137.9,5.92,121.4,80.07,47.28,50.82,95.3,139.74,1483.44,1412.44,1107.52,737.75,956.62,946.68,37,25,14,14,32,47,369,368,276,174,233,239,12,10,9,9,11,14,59,59,59,54,57,55,0,1,798321639.6,566417599.9,749975957.7,738653260.3,657584482.5,552186211.5,12036949319,9299423917,8324279876,6208618874,7707717761,7474642869,567104897.7,275283600.6,550737796.4,738653260.3,250128152.3,364119784.8,8688957467,5668362319,5033734349,4286359160,6907778243,5056867825,41,47,40,38,44,53,98,97,95,94,95,93,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P02466,Collagen alpha-2(I) chain OS=Rattus norvegicus OX=10116 GN=Col1a2 PE=1 SV=3,0,960.612,72,59,2114,1,1372,129.5,9.33,97.05,41.29,52.8,62.15,39.82,84.53,1716.23,1591.24,1318.85,1107.06,1673.21,1189.8,28,12,15,19,13,25,403,382,306,246,372,293,9,6,6,10,6,11,54,56,56,51,53,51,0,0,3864649.326,,,6286848.375,,1393758.053,61307769.11,48481224.77,28461150.52,44297585.06,53674632.71,41999870.89,2745336.531,,,6286848.375,,919064.75,44255449.13,29551201.25,17210602.38,30582543.94,48104052.53,28414440.59,1,,,1,,1,1,1,1,1,1,1,Peak Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,F1LTJ5,Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=1 SV=3,0,795.659,51,72,820,72,2449,262.9,5.99,58.01,57.02,357.82,474.87,28.49,93.64,328.12,409.73,435.81,429.81,342.4,413.94,16,14,87,112,8,24,83,101,102,95,81,97,13,13,46,56,8,19,48,54,51,51,49,50,0,0,120387122,301113141.4,636387076,692972974.5,142472010.2,189156521.3,585172767.5,797251439.3,860012135.8,779037605.7,428785904.5,836074656.4,85519573.99,146343457.2,467324868.6,692972974.5,54192672.75,124732618.1,422411123.7,485955910.6,520053709.5,537838615.2,384284691.6,565634921.1,44,52,75,83,47,52,79,81,77,78,78,84,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P13941,Collagen alpha-1(III) chain OS=Rattus norvegicus OX=10116 GN=Col3a1 PE=2 SV=3,0,655.944,58,54,775,53,1463,138.9,6.52,71.78,35.44,27.81,24.54,51.26,73.52,664.96,513.01,399.05,292.98,405.83,360.77,23,13,9,7,20,26,168,132,107,74,101,95,9,7,6,6,9,9,50,40,40,39,43,36,0,2,200437431.1,154093707.8,73283433.63,107531963.5,206984769.8,242490794,2783677236,1864153906,1079624408,1090309423,1529700511,1085933234,142385027.8,74890806.22,53815000.79,107531963.5,78731660.18,159902029.2,2009417209,1136274661,652854366.6,752737102.8,1370941728,734673338.5,25,29,26,29,35,42,84,78,74,75,80,76,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A0G2JUA5,AHNAK nucleoprotein OS=Rattus norvegicus OX=10116 GN=Ahnak PE=1 SV=1,0,637.26,58,121,541,121,5450,580.8,6.14,136.96,73.77,428.85,475.89,123.5,243.67,43.5,68.63,39.43,92.14,12.02,49.1,45,25,121,131,46,80,14,21,13,25,4,16,39,22,82,92,31,51,11,20,10,22,4,15,0,0,395884707.6,405970885.2,1131073042,1116534485,407193578.8,655947464.4,183546480.7,267052150.5,213036234.3,337427078.8,106316541.6,219469478.1,281225192.3,197305180.9,830592858.7,1116534485,154885919.9,432541495.2,132494332.4,162778722.7,128824093.7,232955779.6,95282561.66,148479086.1,97,85,121,124,97,119,56,80,56,75,49,69,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,F1LQ00,Collagen type V alpha 2 chain OS=Rattus norvegicus OX=10116 GN=Col5a2 PE=1 SV=3,0,550.958,47,38,388,37,1494,145.1,6.7,30.61,28.74,9.38,17.45,43.87,64.14,370.09,310.99,244.91,183.24,268.74,181.41,8,6,2,4,12,17,80,68,58,38,57,38,7,4,2,4,5,9,33,32,29,24,30,22,0,0,97327153.08,72068529.08,58998982.17,54416177.83,81315231.98,106711375.6,629358394.9,454761977.3,343027344.5,316743099.1,414502129.7,293999097.2,69138430.5,35025896.41,43325348.09,54416177.83,30930213.94,70367065.14,454306833,277195198.3,207430378.7,218675797.6,371483347.3,198901084.8,21,17,20,18,22,21,48,51,45,42,46,48,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,C0JPT7,Filamin A OS=Rattus norvegicus OX=10116 GN=Flna PE=1 SV=1,0,533.645,40,63,542,59,2639,280.3,6.04,183.7,95.93,183.2,212.29,250.72,439.04,117.46,91.61,126.2,119.37,128.31,154.46,48,25,42,49,74,117,29,25,35,29,29,40,35,20,35,38,28,47,25,22,28,26,24,34,0,4,466188171,269301530.4,362885019.3,391829347.2,1276109247,950791531.6,164737108.3,220332917.6,405295866.3,259469800.4,310283836.5,305456958.5,331166765.3,130882753.2,266481203.6,391829347.2,485398996.5,626966049.9,118916653.2,134301524.4,245084470.3,179134970,278081268.9,206652744.9,63,52,57,63,59,64,46,53,53,55,55,55,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
